age	fork_length
1	105
1	116
1	117
1	128
1	133
1	139
1	145
1	148
1	151
1	152
1	156
1	156
1	165
1	165
1	170
1	170
1	172
1	173
1	174
2	145
2	149
2	153
2	159
2	161
2	165
2	176
2	177
2	178
2	183
2	185
2	185
2	185
2	188
2	189
2	190
2	190
2	191
2	193
2	194
2	195
2	196
2	196
2	197
2	197
2	199
2	200
2	206
2	218
2	220
2	222
2	232
2	250
2	250
3	165
3	199
3	205
3	214
3	219
3	220
3	220
3	223
3	228
3	230
3	232
3	233
3	239
3	239
3	240
3	241
3	244
3	245
3	245
3	246
3	248
3	249
3	249
3	250
3	250
3	250
3	250
3	251
3	251
3	252
3	254
3	254
3	255
3	255
3	256
3	259
3	260
3	262
3	262
3	264
3	267
3	268
3	269
3	270
3	270
3	271
3	273
3	281
3	281
3	281
3	282
3	285
3	285
3	287
3	288
3	290
3	294
4	208
4	210
4	245
4	245
4	247
4	249
4	250
4	251
4	252
4	254
4	255
4	260
4	261
4	262
4	262
4	263
4	263
4	264
4	264
4	265
4	265
4	266
4	268
4	268
4	268
4	268
4	268
4	270
4	270
4	271
4	272
4	272
4	275
4	275
4	275
4	275
4	275
4	276
4	277
4	278
4	278
4	278
4	279
4	280
4	280
4	281
4	283
4	284
4	285
4	285
4	287
4	287
4	287
4	287
4	290
4	290
4	290
4	290
4	293
4	294
4	295
4	295
4	303
4	309
4	309
4	310
4	315
4	325
5	248
5	256
5	260
5	264
5	265
5	270
5	270
5	272
5	275
5	276
5	277
5	279
5	282
5	285
5	286
5	286
5	286
5	286
5	288
5	288
5	289
5	289
5	290
5	294
5	294
5	295
5	296
5	296
5	297
5	298
5	300
5	300
5	300
5	300
5	300
5	302
5	302
5	302
5	303
5	304
5	305
5	305
5	306
5	309
5	310
5	310
5	310
5	310
5	312
5	314
5	315
5	315
5	318
5	318
5	320
5	320
5	325
5	325
5	331
5	333
5	334
5	335
5	336
5	338
5	340
5	341
5	355
5	380
6	280
6	288
6	292
6	298
6	300
6	304
6	307
6	308
6	308
6	309
6	312
6	313
6	319
6	320
6	332
6	333
6	338
6	338
6	339
6	340
6	340
6	340
6	348
6	355
6	360
6	365
6	375
6	379
6	384
7	241
7	286
7	310
7	320
7	320
7	320
7	325
7	326
7	329
7	333
7	336
7	339
7	341
7	342
7	345
7	345
7	355
7	356
7	357
7	360
7	360
7	360
7	361
7	366
7	368
7	368
7	368
7	370
7	377
7	395
8	271
8	324
8	328
8	332
8	340
8	345
8	351
8	352
8	359
8	360
8	361
8	365
8	365
8	381
8	384
8	385
8	389
8	390
8	395
9	340
9	340
9	371
9	373
9	375
9	390
9	397
9	419
10	357
10	380
