fork_length	weight
105	14
116	35
117	26
133	45
139	65
145	69
149	68
151	54
152	75
153	77
156	76
159	195
161	100
165	81
165	87
165	99
173	110
185	185
189	150
190	143
190	154
191	142
191	165
193	143
194	133
195	138
196	157
196	166
199	176
206	172
220	229
222	233
223	243
230	275
232	298
239	314
241	304
241	321
244	310
245	330
245	345
245	370
246	335
247	285
249	319
249	342
249	365
250	350
250	362
250	366
251	296
251	374
252	388
254	318
255	356
255	358
260	392
261	500
262	404
262	427
262	439
263	402
264	383
264	402
264	407
264	420
265	400
265	411
266	342
267	451
268	416
268	476
268	500
268	600
269	437
270	450
270	483
270	490
271	396
271	424
271	455
272	435
272	478
273	423
275	454
275	491
275	495
275	502
276	441
276	500
277	520
278	476
278	500
278	504
280	450
280	503
281	498
281	498
282	453
282	489
282	494
283	530
284	500
285	482
285	506
285	550
285	555
286	528
286	533
286	600
287	400
287	470
287	490
288	517
288	523
288	534
288	555
289	600
290	557
290	571
290	571
290	587
294	531
294	551
294	600
295	500
298	534
300	608
300	615
300	628
300	677
301	593
302	576
302	695
303	645
303	706
304	684
304	708
305	625
305	682
307	618
307	738
308	610
309	573
309	662
310	636
310	644
310	700
314	671
315	785
315	800
315	800
318	638
318	683
319	800
320	766
325	813
325	900
325	900
326	800
329	765
331	800
332	900
333	804
334	900
335	1200
336	831
336	876
338	809
338	894
339	965
339	1000
340	822
340	843
340	946
341	992
345	1000
351	1200
352	942
355	900
355	1050
355	1100
357	940
357	1000
360	1210
361	1096
365	1100
365	1149
365	1178
366	1102
367	1100
368	1080
368	1264
368	1300
370	1197
371	1100
373	1417
375	1237
377	1313
379	1200
380	1200
381	1200
384	850
384	1100
385	1200
385	1428
389	1235
390	1400
395	1302
395	1500
397	1500
406	1500
